CellLabel	Distance[µm]	DAPI	MTCOI	SDHA
Pos1	162.54	312	302.571	420
Pos1	162.863	249.286	291.857	418
Pos1	163.185	250.857	279.286	386
Pos1	163.508	250.857	279.286	386
Pos1	163.83	246.286	275.143	381
Pos1	164.153	203.714	274.143	378.857
Pos1	164.475	188.571	262.429	352.429
Pos1	164.798	153.714	246	322.714
Pos1	165.12	146.571	257.429	303.714
Pos1	165.443	127.571	320.857	339.857
Pos1	165.765	121.857	326.857	369.143
Pos1	166.088	103	322	382.857
Pos1	166.41	101.571	322.429	377.714
Pos1	166.733	98.857	315.714	367.571
Pos1	167.055	88.714	302.143	372.429
Pos1	167.378	88.714	302.143	372.429
Pos1	167.7	83	276.286	372.143
Pos1	168.023	81	248.714	343.143
Pos1	168.345	75.429	240.429	324.429
Pos1	168.668	77.429	231	305.286
Pos1	168.99	72.857	213.571	290.429
Pos1	169.313	69.286	203.286	273
Pos1	169.635	68.714	202.429	259.571
Pos1	169.958	66.571	190.286	241.286
Pos1	170.28	65.286	199.714	234.143
Pos1	170.603	67	197.429	243.714
Pos1	170.925	64.571	184.857	232.714
Pos1	171.248	63.857	176.143	210.857
Pos1	171.57	65.857	182.143	223.429
Pos1	171.893	63.714	174.571	240.571
Pos1	172.215	62.571	178.143	240.571
Pos1	172.538	63.714	182.714	236.571
Pos1	172.86	64.857	208.571	263.571
Pos1	173.183	64.286	213.143	307.714
Pos1	173.505	62.857	191.429	340.286
Pos1	173.828	62.429	194.286	283.857
Pos1	174.15	62.857	232.286	293
Pos1	174.473	59.429	237	306.857
Pos1	174.795	58.714	218.429	311.714
Pos1	175.118	57.714	201.143	277.857
Pos1	175.44	56.571	203.143	267.571
Pos1	175.763	60.571	217.571	286
Pos1	176.085	58.571	241.571	291.143
Pos1	176.408	58.714	259	300.286
Pos1	176.73	59.286	247.429	286.429
Pos1	177.053	60.857	206.714	268.429
Pos1	177.375	58.714	187.714	242
Pos1	177.698	59.714	177.714	228.286
Pos1	178.02	58.857	163.143	227.857
Pos1	178.343	59.143	172.143	237.286
Pos1	178.665	58.571	162.857	260.429
Pos1	178.988	59.857	161.286	258.714
Pos1	179.31	60.714	159	231.429
Pos1	179.633	57.714	161.143	223
Pos1	179.955	60	177.143	221.429
Pos1	180.278	58.429	217.429	238
Pos1	180.6	60.429	218.571	253
Pos1	180.923	60.429	218.571	253
Pos1	181.245	60.143	209.857	252.714
Pos1	181.568	59.143	213.714	264.714
Pos1	181.89	59.857	186	255.714
Pos1	182.213	60.857	164.714	242.286
Pos1	182.535	61.143	168	243.857
Pos1	182.858	60.714	180	241.714
Pos1	183.18	58.857	194.857	240.429
Pos1	183.503	59.429	176	265.143
Pos1	183.825	60.286	177.143	273.571
Pos1	184.148	59.571	184.857	290.857
Pos1	184.47	59.714	229.286	332.857
Pos1	184.793	59	277.143	390.143
Pos1	185.115	55.143	271.714	420.286
Pos1	185.438	54	255.714	417
Pos1	185.76	56.286	258.714	409.286
Pos1	186.083	60.286	306.429	423.571
Pos1	186.405	57.571	363.286	480.429
Pos1	186.728	56.571	402	528
Pos1	187.05	58.857	419.714	548.714
Pos1	187.373	59.286	406	546.714
Pos1	187.695	59.857	382.714	503.571
Pos1	188.018	54.857	386.286	466.857
Pos1	188.34	54.857	386.286	466.857
Pos1	188.663	58.286	366.429	454
